User Input,Chatbot Response,Timestamp
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 17:41:30
kaise ho tum,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 17:41:42
Hello,"I'm fine, thank you",2024-12-10 17:42:10
wlcome chatbot,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 17:43:00
kaise ho,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 17:43:43
welcome,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 17:43:58
let's party,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 17:44:13
i am visible,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 17:44:26
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 18:48:37
Hello,Hi there,2024-12-10 18:48:51
Hello,Hello,2024-12-10 18:54:08
Hello,Hi there,2024-12-10 19:04:32
Hello,Nothing much,2024-12-10 19:04:45
Hello,Nothing much,2024-12-10 19:04:55
Hello,Hi there,2024-12-10 19:04:58
Hello,Hi there,2024-12-10 19:05:01
kaise ho,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 19:05:11
Hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 19:07:27
Hello,Hey,2024-12-10 19:07:36
Hello,Hey,2024-12-10 19:18:18
Good Bye,Take care,2024-12-10 19:34:15
Thanku,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 19:34:27
Hello,Hey,2024-12-10 19:34:36
Hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 19:35:16
My Name is Rohit Kumar,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-10 19:35:38
What Is Your Name,My purpose is to assist you,2024-12-10 19:35:58
What Is Your Purpose,I am a chatbot,2024-12-10 19:36:11
